lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
logbook,picologging,0.0,0.0078125,6.914989139499994,1.3324458095199816,5.573060937539935,picologging,0.1171875,False
logbook,pythonjsonlogger,0.0,0.0078125,6.914989139499994,2.4663753359199063,4.38454309859992,pythonjsonlogger,0.1171875,False
logbook,stdlib,0.0,0.0078125,6.914989139499994,1.6034661413199274,5.266576906920136,stdlib,0.1171875,False
loguru,picologging,0.0,0.0078125,4.6340743261599755,1.3324458095199816,3.2234023683000714,picologging,0.1171875,False
loguru,stdlib,0.0,0.0078125,4.6340743261599755,1.6034661413199274,2.98047689712007,stdlib,0.1171875,False
picologging,pythonjsonlogger,0.0,0.0078125,1.3324458095199816,2.4663753359199063,-1.0552005737998797,picologging,0.1171875,False
picologging,structlog,0.0,0.0078125,1.3324458095199816,2.215913419899948,-0.8834676103799666,picologging,0.1171875,False
pythonjsonlogger,stdlib,0.0,0.0078125,2.4663753359199063,1.6034661413199274,0.6974227108801188,stdlib,0.1171875,False
stdlib,structlog,2.0,0.0234375,1.6034661413199274,2.215913419899948,-0.6470789579999519,stdlib,0.1640625,False
picologging,stdlib,3.0,0.0390625,1.3324458095199816,1.6034661413199274,-0.25984201031985776,picologging,0.234375,False
logbook,structlog,5.0,0.078125,6.914989139499994,2.215913419899948,2.62832096052,structlog,0.390625,False
logbook,loguru,9.0,0.25,6.914989139499994,4.6340743261599755,2.283756340499963,loguru,1.0,False
loguru,pythonjsonlogger,10.0,0.3125,4.6340743261599755,2.4663753359199063,2.2830541862399514,pythonjsonlogger,1.0,False
loguru,structlog,12.0,0.4609375,4.6340743261599755,2.215913419899948,0.4151786367600607,structlog,1.0,False
pythonjsonlogger,structlog,12.0,0.4609375,2.4663753359199063,2.215913419899948,-0.11009352617998047,structlog,1.0,False
