lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
logbook,loguru,0.0,0.0078125,82.71959145166,66.50534627596005,16.16477755644007,loguru,0.1171875,False
logbook,picologging,0.0,0.0078125,82.71959145166,34.06670453152003,48.62410263324,picologging,0.1171875,False
logbook,pythonjsonlogger,0.0,0.0078125,82.71959145166,68.44164341446003,10.30295090717982,pythonjsonlogger,0.1171875,False
logbook,stdlib,0.0,0.0078125,82.71959145166,65.40153931774,16.670288083319974,stdlib,0.1171875,False
loguru,picologging,0.0,0.0078125,66.50534627596005,34.06670453152003,32.23185806268032,picologging,0.1171875,False
loguru,pythonjsonlogger,0.0,0.0078125,66.50534627596005,68.44164341446003,-1.956457451520123,loguru,0.1171875,False
loguru,structlog,0.0,0.0078125,66.50534627596005,69.77316838906006,-3.7399904445600214,loguru,0.1171875,False
picologging,pythonjsonlogger,0.0,0.0078125,34.06670453152003,68.44164341446003,-34.43162768892,picologging,0.1171875,False
picologging,stdlib,0.0,0.0078125,34.06670453152003,65.40153931774,-31.45254015204,picologging,0.1171875,False
picologging,structlog,0.0,0.0078125,34.06670453152003,69.77316838906006,-35.82392214491995,picologging,0.1171875,False
pythonjsonlogger,stdlib,0.0,0.0078125,68.44164341446003,65.40153931774,6.930523522619978,stdlib,0.1171875,False
stdlib,structlog,0.0,0.0078125,65.40153931774,69.77316838906006,-10.485325790100092,stdlib,0.1171875,False
logbook,structlog,5.0,0.078125,82.71959145166,69.77316838906006,9.933456337739926,structlog,0.234375,False
loguru,stdlib,10.0,0.3125,66.50534627596005,65.40153931774,0.5549413865400084,stdlib,0.625,False
pythonjsonlogger,structlog,11.0,0.3828125,68.44164341446003,69.77316838906006,-1.4213471536799034,pythonjsonlogger,0.625,False
