lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
logbook,loguru,0.0,0.0078125,9.87257705410002,9.126243958419991,0.699192213839865,loguru,0.1171875,False
logbook,pythonjsonlogger,0.0,0.0078125,9.87257705410002,7.4673979343199335,2.4874005576600666,pythonjsonlogger,0.1171875,False
logbook,stdlib,0.0,0.0078125,9.87257705410002,4.904219769400015,4.909792388039932,stdlib,0.1171875,False
logbook,structlog,0.0,0.0078125,9.87257705410002,8.317033077159977,1.551076174259947,structlog,0.1171875,False
loguru,picologging,0.0,0.0078125,9.126243958419991,13.866500921319926,-4.930424336160058,loguru,0.1171875,False
loguru,pythonjsonlogger,0.0,0.0078125,9.126243958419991,7.4673979343199335,1.584546836399909,pythonjsonlogger,0.1171875,False
loguru,structlog,0.0,0.0078125,9.126243958419991,8.317033077159977,0.763297808940024,structlog,0.1171875,False
picologging,pythonjsonlogger,0.0,0.0078125,13.866500921319926,7.4673979343199335,6.480335868119937,pythonjsonlogger,0.1171875,False
picologging,stdlib,0.0,0.0078125,13.866500921319926,4.904219769400015,7.0883987256002,stdlib,0.1171875,False
picologging,structlog,0.0,0.0078125,13.866500921319926,8.317033077159977,5.690473750259912,structlog,0.1171875,False
pythonjsonlogger,structlog,0.0,0.0078125,7.4673979343199335,8.317033077159977,-0.8127402732002338,pythonjsonlogger,0.1171875,False
logbook,picologging,6.0,0.109375,9.87257705410002,13.866500921319926,-2.2168546716599167,logbook,0.4375,False
loguru,stdlib,8.0,0.1953125,9.126243958419991,4.904219769400015,4.175821594079935,stdlib,0.5859375,False
pythonjsonlogger,stdlib,8.0,0.1953125,7.4673979343199335,4.904219769400015,2.4820922179799254,stdlib,0.5859375,False
stdlib,structlog,8.0,0.1953125,4.904219769400015,8.317033077159977,-3.364843861259942,stdlib,0.5859375,False
