,logbook,loguru,picologging,pythonjsonlogger,stdlib,structlog
logbook,1.0,0.0004915822651947455,2.7871799135326114e-06,0.4202637848302485,0.025796712866943183,0.9374091523398105
loguru,0.0004915822651947455,1.0,0.8937428354087699,0.20565662000294072,0.8937428354087699,0.016881821245041673
picologging,2.7871799135326114e-06,0.8937428354087699,1.0,0.01081777104401671,0.2675950272358213,0.00027453198617921615
pythonjsonlogger,0.4202637848302485,0.20565662000294072,0.01081777104401671,1.0,0.8357771478865658,0.9374091523398105
stdlib,0.025796712866943183,0.8937428354087699,0.2675950272358213,0.8357771478865658,1.0,0.2675950272358213
structlog,0.9374091523398105,0.016881821245041673,0.00027453198617921615,0.9374091523398105,0.2675950272358213,1.0
