lib1,lib2,wilcoxon_stat,p_raw,median_lib1,median_lib2,median_diff_lib1_minus_lib2,lower_median_lib,p_holm,significant
logbook,loguru,0.0,0.0078125,552.5287428635199,423.1983761153199,130.16654465651982,loguru,0.1171875,False
logbook,picologging,0.0,0.0078125,552.5287428635199,285.00799625416005,264.85879350618006,picologging,0.1171875,False
logbook,pythonjsonlogger,0.0,0.0078125,552.5287428635199,524.9420786200598,31.351025051999954,pythonjsonlogger,0.1171875,False
logbook,stdlib,0.0,0.0078125,552.5287428635199,450.28685321937996,100.69939244951979,stdlib,0.1171875,False
loguru,picologging,0.0,0.0078125,423.1983761153199,285.00799625416005,132.73178995223975,picologging,0.1171875,False
loguru,pythonjsonlogger,0.0,0.0078125,423.1983761153199,524.9420786200598,-101.28437375724002,loguru,0.1171875,False
loguru,stdlib,0.0,0.0078125,423.1983761153199,450.28685321937996,-25.140939342300157,loguru,0.1171875,False
loguru,structlog,0.0,0.0078125,423.1983761153199,539.23318813918,-116.29798423146008,loguru,0.1171875,False
picologging,pythonjsonlogger,0.0,0.0078125,285.00799625416005,524.9420786200598,-238.87041143975978,picologging,0.1171875,False
picologging,stdlib,0.0,0.0078125,285.00799625416005,450.28685321937996,-165.81332486789995,picologging,0.1171875,False
picologging,structlog,0.0,0.0078125,285.00799625416005,539.23318813918,-251.90427088907984,picologging,0.1171875,False
pythonjsonlogger,stdlib,0.0,0.0078125,524.9420786200598,450.28685321937996,74.69295046631999,stdlib,0.1171875,False
stdlib,structlog,0.0,0.0078125,450.28685321937996,539.23318813918,-86.53584534173979,stdlib,0.1171875,False
pythonjsonlogger,structlog,1.0,0.015625,524.9420786200598,539.23318813918,-15.655403774340016,pythonjsonlogger,0.1171875,False
logbook,structlog,3.0,0.0390625,552.5287428635199,539.23318813918,18.09563329422008,structlog,0.1171875,False
