lib,average_rank,overall_mean_net_energy_j,overall_position
picologging,2.3125,56.284545233057464,1
stdlib,2.75,87.24615045387998,2
pythonjsonlogger,3.1041666666666665,100.90187305757495,3
loguru,3.3958333333333335,84.52161305844247,4
structlog,4.5,104.16057126285999,5
logbook,4.9375,108.71028938444499,6
