lib,rate,avg_net_energy_j,n
logbook,0.01,0.4110133206249884,8
logbook,0.1,0.27801226369001597,8
logbook,1.0,6.387719592069942,8
logbook,10.0,11.27099072975497,8
logbook,100.0,80.43329423205995,8
logbook,1000.0,553.4807061684701,8
loguru,0.01,3.3945729446799078,8
loguru,0.1,0.3131302982049533,8
loguru,1.0,4.861065286990026,8
loguru,10.0,9.03747092175999,8
loguru,100.0,66.45063172140996,8
loguru,1000.0,423.07280717761,8
picologging,0.01,0.17137355031994161,8
picologging,0.1,0.1996501301199487,8
picologging,1.0,1.3314901910499657,8
picologging,10.0,13.939897993929975,8
picologging,100.0,34.221116211669965,8
picologging,1000.0,287.84374332125503,8
pythonjsonlogger,0.01,0.24797178518500118,8
pythonjsonlogger,0.1,0.14146223396497248,8
pythonjsonlogger,1.0,2.3989809310749877,8
pythonjsonlogger,10.0,7.498533255534966,8
pythonjsonlogger,100.0,70.03090968778,8
pythonjsonlogger,1000.0,525.09338045191,8
stdlib,0.01,0.25751943846998415,8
stdlib,0.1,0.4628881890099592,8
stdlib,1.0,1.6463752792299147,8
stdlib,10.0,6.213431258740002,8
stdlib,100.0,62.292651787044974,8
stdlib,1000.0,452.604036770785,8
structlog,0.01,0.47000977295499524,8
structlog,0.1,0.5928391114299814,8
structlog,1.0,3.8703378868750065,8
structlog,10.0,8.303059543014996,8
structlog,100.0,73.21794003442,8
structlog,1000.0,538.5092412284649,8
