rate,friedman_stat,friedman_p,kendalls_w,kendalls_w_label,best_lib_by_rank,best_mean_rank,n_reps,n_libs
0.01,5.314285714285717,0.3787399091183651,0.10628571428571433,small,pythonjsonlogger,2.6,10,6
0.1,25.14285714285714,0.000130756729783496,0.5028571428571428,strong,pythonjsonlogger,2.0,10,6
1.0,37.19999999999999,5.461194289926607e-07,0.7439999999999998,strong,picologging,1.2,10,6
10.0,46.0,9.082105818889289e-09,0.92,strong,stdlib,1.3,10,6
100.0,45.37142857142857,1.2192685711676701e-08,0.9074285714285714,strong,picologging,1.0,10,6
1000.0,48.457142857142856,2.8649730580163434e-09,0.9691428571428571,strong,picologging,1.0,10,6
