rate,lib1,lib2,wilcoxon_W,p_raw,p_holm,significant,effect_r,effect_r_label
1000.0,logbook,stdlib,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,logbook,structlog,3.0,0.009765625,0.029296875,True,0.7897065047448726,large
1000.0,loguru,picologging,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,loguru,pythonjsonlogger,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,loguru,stdlib,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,loguru,structlog,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,picologging,pythonjsonlogger,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,picologging,stdlib,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,picologging,structlog,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,pythonjsonlogger,stdlib,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
1000.0,pythonjsonlogger,structlog,3.0,0.009765625,0.029296875,True,0.7897065047448726,large
1000.0,stdlib,structlog,0.0,0.001953125,0.029296875,True,0.8864052604279182,large
