best_lib,other_lib,wilcoxon_W,p_raw,p_holm,significant
picologging,logbook,304.0,6.861523652270444e-06,3.430761826135222e-05,True
picologging,loguru,333.0,1.8318937135701698e-05,7.327574854280679e-05,True
picologging,pythonjsonlogger,484.0,0.0015095002696703438,0.0015095002696703438,True
picologging,stdlib,405.0,0.00017374503675681157,0.00034749007351362314,True
picologging,structlog,355.0,3.7478638535928006e-05,0.00011243591560778401,True
