lib,mean,std,median,count
picologging,56.15016565763798,104.81345311842269,6.551238089979961,60
loguru,84.88877507373398,155.41182890596113,8.887933317519924,60
stdlib,86.93081166337599,166.01464402604597,3.2092238340998165,60
pythonjsonlogger,100.65965672416597,192.2270706756248,5.047951213900092,60
structlog,103.66081052472398,196.7769349974871,7.587237614500054,60
logbook,108.19990369966598,202.36740282549027,8.240317845220034,60
