lib,mean,std,median,min,max,count,range_j,cv_percent
picologging,56.15016565763798,104.81345311842269,6.551238089979961,-0.07195606171990221,294.06217302352,60,294.1341290852399,186.6663292811945
loguru,84.88877507373398,155.41182890596113,8.887933317519924,0.09643389615985143,445.10327356563994,60,445.0068396694801,183.07700726152683
stdlib,86.93081166337599,166.01464402604597,3.2092238340998165,0.010438687719897644,461.63593259848017,60,461.62549391076027,190.97330491852298
pythonjsonlogger,100.65965672416597,192.2270706756248,5.047951213900092,-0.18043658612009494,531.70802549056,60,531.8884620766801,190.96734176471287
structlog,103.66081052472398,196.7769349974871,7.587237614500054,-0.017010307520195056,548.2500942786401,60,548.2671045861603,189.82770248603654
logbook,108.19990369966598,202.36740282549027,8.240317845220034,0.040142753199916115,568.0106788780001,60,567.9705361248002,187.0310378345697
