experiment_name,condition,epochs,emissions_file,status,error,final_loss,final_accuracy,duration_s,energy_consumed_kwh,energy_j,cpu_energy_kwh,ram_energy_kwh,gpu_energy_kwh,cpu_power_w,ram_power_w,gpu_power_w
train_no_logging_epochs10,no_logging,10,training_realworld_tensorflow/no_logging_epochs10_emissions.csv,success,,0.15663893520832062,0.9435333609580994,156.1447449749976,0.0007959994543031,2865.59803549116,0.0005759612446702,0.0002200382096329,0.0,26.39612848643708,10.0,0.0
train_tf_batch_logging_epochs10,tf_batch_logging,10,training_realworld_tensorflow/tf_batch_logging_epochs10_emissions.csv,success,,0.1633531153202057,0.9415833353996277,157.55868000202463,0.0008069793803907,2905.1257694065202,0.0005872072134125,0.0002197721669781,0.0,26.595789401899022,10.0,0.0
train_no_logging_epochs20,no_logging,20,training_realworld_tensorflow/no_logging_epochs20_emissions.csv,success,,0.0739201232790947,0.9731000065803528,312.4688123719825,0.0015781068963355,5681.1848268078,0.0011417184597629,0.0004363884365726,0.0,26.256500277019317,10.0,0.0
train_tf_batch_logging_epochs20,tf_batch_logging,20,training_realworld_tensorflow/tf_batch_logging_epochs20_emissions.csv,success,,0.07005027681589127,0.9749333262443542,314.7401073949877,0.0015966111963206,5747.8003067541595,0.0011594046206157,0.0004372065757048,0.0,26.50421418201519,10.0,0.0
train_no_logging_epochs30,no_logging,30,training_realworld_tensorflow/no_logging_epochs30_emissions.csv,success,,0.03499078005552292,0.9875333309173584,466.90964217699366,0.0023608688234257,8499.12776433252,0.0017131669301866,0.000647701893239,0.0,26.367158210138744,10.0,0.0
train_tf_batch_logging_epochs30,tf_batch_logging,30,training_realworld_tensorflow/tf_batch_logging_epochs30_emissions.csv,success,,0.03905615955591202,0.9855166673660278,472.1271053890232,0.0023925964271796,8613.34713784656,0.0017375754664565,0.0006550209607231,0.0,26.516853315469145,10.0,0.0
train_no_logging_epochs40,no_logging,40,training_realworld_tensorflow/no_logging_epochs40_emissions.csv,success,,0.020797772333025932,0.9925833344459534,623.739492260007,0.003148752954128,11335.5106348608,0.0022819430017678,0.0008668099523602,0.0,26.301481503420845,10.0,0.0
train_tf_batch_logging_epochs40,tf_batch_logging,40,training_realworld_tensorflow/tf_batch_logging_epochs40_emissions.csv,success,,0.019373008981347084,0.9932833313941956,630.8253323340032,0.0031770329095583,11437.31847440988,0.0023005013243797,0.0008765315851785,0.0,26.305313802589065,10.0,0.0
