size,logbook_r1.0,loguru_r1.0,picologging_r1.0,pythonjsonlogger_r1.0,stdlib_r1.0,structlog_r1.0,logbook_r1000.0,loguru_r1000.0,picologging_r1000.0,pythonjsonlogger_r1000.0,stdlib_r1000.0,structlog_r1000.0
64,3.7976 ± 2.4266 (n=3),2.7201 ± 0.1484 (n=3),1.3489 ± 0.2310 (n=3),3.7353 ± 2.6538 (n=3),2.0254 ± 0.2535 (n=3),2.6806 ± 0.5209 (n=3),3.8291 ± 3.4157 (n=3),7.5633 ± 6.3807 (n=3),3.4238 ± 3.9902 (n=3),15.3485 ± 23.6664 (n=3),2.4586 ± 2.1110 (n=3),3.8729 ± 3.7529 (n=3)
512,5.4002 ± 2.7218 (n=3),4.0310 ± 2.5258 (n=3),2.7295 ± 0.1594 (n=3),5.6469 ± 2.3065 (n=3),2.9431 ± 0.3105 (n=3),3.7193 ± 2.7246 (n=3),4.8329 ± 4.3897 (n=3),3.8969 ± 1.6515 (n=3),3.1348 ± 0.1355 (n=3),4.2179 ± 1.2755 (n=3),3.4308 ± 0.5050 (n=3),4.4924 ± 4.2765 (n=3)
1024,6.2037 ± 3.7511 (n=3),7.4838 ± 1.3109 (n=3),2.8076 ± 0.1609 (n=3),2.2158 ± 0.3903 (n=3),3.1041 ± 0.0985 (n=3),5.4321 ± 2.7495 (n=3),4.0331 ± 3.1588 (n=3),6.3461 ± 5.4082 (n=3),4.2131 ± 0.4427 (n=3),4.0649 ± 0.7050 (n=3),3.3122 ± 0.1907 (n=3),4.6209 ± 4.3025 (n=3)
1536,7.9344 ± 1.2744 (n=3),22.0449 ± 30.3202 (n=3),18.2944 ± 26.9826 (n=3),7.9000 ± 1.2606 (n=3),2.9269 ± 0.0198 (n=3),7.9007 ± 1.3480 (n=3),3.0534 ± 0.5530 (n=3),4.6336 ± 1.5423 (n=3),4.8946 ± 0.4831 (n=3),5.5492 ± 1.8760 (n=3),3.4279 ± 0.1676 (n=3),3.3918 ± 2.0678 (n=3)
2048,7.1935 ± 4.0086 (n=3),5.3399 ± 2.6275 (n=3),2.7507 ± 0.0723 (n=3),7.1962 ± 0.2958 (n=3),2.6981 ± 0.5272 (n=3),8.0953 ± 1.4620 (n=3),6.1016 ± 2.9432 (n=3),7.2550 ± 4.6099 (n=3),5.9319 ± 1.5167 (n=3),5.1514 ± 0.0986 (n=3),3.1876 ± 0.0664 (n=3),2.3086 ± 0.4322 (n=3)
8192,8.5944 ± 1.2591 (n=3),9.5010 ± 1.2215 (n=3),7.3310 ± 0.3816 (n=3),10.8775 ± 1.0746 (n=3),9.3124 ± 1.4887 (n=3),10.6519 ± 0.1808 (n=3),5.1574 ± 2.2043 (n=3),9.9000 ± 6.0216 (n=3),7.3442 ± 0.1787 (n=3),7.3912 ± 0.1397 (n=3),4.5920 ± 0.1480 (n=3),5.2897 ± 2.0484 (n=3)
