size,logbook_r1.0,loguru_r1.0,picologging_r1.0,pythonjsonlogger_r1.0,stdlib_r1.0,structlog_r1.0,logbook_r1000.0,loguru_r1000.0,picologging_r1000.0,pythonjsonlogger_r1000.0,stdlib_r1000.0,structlog_r1000.0
64,1469.5276 ± 2.4266 (n=3),1468.4501 ± 0.1484 (n=3),1467.0789 ± 0.2310 (n=3),1469.4653 ± 2.6538 (n=3),1467.7554 ± 0.2535 (n=3),1468.4106 ± 0.5209 (n=3),1469.5591 ± 3.4157 (n=3),1473.2933 ± 6.3807 (n=3),1469.1538 ± 3.9902 (n=3),1481.0785 ± 23.6664 (n=3),1468.1886 ± 2.1110 (n=3),1469.6029 ± 3.7529 (n=3)
512,1471.1302 ± 2.7218 (n=3),1469.7610 ± 2.5258 (n=3),1468.4595 ± 0.1594 (n=3),1471.3769 ± 2.3065 (n=3),1468.6731 ± 0.3105 (n=3),1469.4493 ± 2.7246 (n=3),1470.5629 ± 4.3897 (n=3),1469.6269 ± 1.6515 (n=3),1468.8648 ± 0.1355 (n=3),1469.9479 ± 1.2755 (n=3),1469.1608 ± 0.5050 (n=3),1470.2224 ± 4.2765 (n=3)
1024,1471.9337 ± 3.7511 (n=3),1473.2138 ± 1.3109 (n=3),1468.5376 ± 0.1609 (n=3),1467.9458 ± 0.3903 (n=3),1468.8341 ± 0.0985 (n=3),1471.1621 ± 2.7495 (n=3),1469.7631 ± 3.1588 (n=3),1472.0761 ± 5.4082 (n=3),1469.9431 ± 0.4427 (n=3),1469.7949 ± 0.7050 (n=3),1469.0422 ± 0.1907 (n=3),1470.3509 ± 4.3025 (n=3)
1536,1473.6644 ± 1.2744 (n=3),1487.7749 ± 30.3202 (n=3),1484.0244 ± 26.9826 (n=3),1473.6300 ± 1.2606 (n=3),1468.6569 ± 0.0198 (n=3),1473.6307 ± 1.3480 (n=3),1468.7834 ± 0.5530 (n=3),1470.3636 ± 1.5423 (n=3),1470.6246 ± 0.4831 (n=3),1471.2792 ± 1.8760 (n=3),1469.1579 ± 0.1676 (n=3),1469.1218 ± 2.0678 (n=3)
2048,1472.9235 ± 4.0086 (n=3),1471.0699 ± 2.6275 (n=3),1468.4807 ± 0.0723 (n=3),1472.9262 ± 0.2958 (n=3),1468.4281 ± 0.5272 (n=3),1473.8253 ± 1.4620 (n=3),1471.8316 ± 2.9432 (n=3),1472.9850 ± 4.6099 (n=3),1471.6619 ± 1.5167 (n=3),1470.8814 ± 0.0986 (n=3),1468.9176 ± 0.0664 (n=3),1468.0386 ± 0.4322 (n=3)
8192,1474.3244 ± 1.2591 (n=3),1475.2310 ± 1.2215 (n=3),1473.0610 ± 0.3816 (n=3),1476.6075 ± 1.0746 (n=3),1475.0424 ± 1.4887 (n=3),1476.3819 ± 0.1808 (n=3),1470.8874 ± 2.2043 (n=3),1475.6300 ± 6.0216 (n=3),1473.0742 ± 0.1787 (n=3),1473.1212 ± 0.1397 (n=3),1470.3220 ± 0.1480 (n=3),1471.0197 ± 2.0484 (n=3)
