experiment_name,condition,epochs,emissions_file,status,error,final_loss,final_accuracy,duration_s,energy_consumed_kwh,energy_j,cpu_energy_kwh,ram_energy_kwh,gpu_energy_kwh,cpu_power_w,ram_power_w,gpu_power_w
train_picologging_batch_logging_epochs10,picologging_batch_logging,10,training_realworld_tensorflow_picologging/picologging_batch_logging_epochs10_emissions.csv,success,,0.15663893520832062,0.9435333609580994,133.90355244101374,0.0006725632095503,2421.22755438108,0.0004835092179863,0.000189053991564,0.0,25.59748934776129,10.0,0.0
train_picologging_batch_logging_epochs20,picologging_batch_logging,20,training_realworld_tensorflow_picologging/picologging_batch_logging_epochs20_emissions.csv,success,,0.07238224893808365,0.973966658115387,268.3011035609816,0.0013308132541113,4790.92771480068,0.0009555621215588,0.0003752511325524,0.0,25.463460665148855,10.0,0.0
train_picologging_batch_logging_epochs30,picologging_batch_logging,30,training_realworld_tensorflow_picologging/picologging_batch_logging_epochs30_emissions.csv,success,,0.03700728714466095,0.9859166741371155,404.35507383098593,0.0019930467667451,7174.968360282361,0.0014294766849547,0.0005635700817903,0.0,25.34521285045161,10.0,0.0
train_picologging_batch_logging_epochs40,picologging_batch_logging,40,training_realworld_tensorflow_picologging/picologging_batch_logging_epochs40_emissions.csv,success,,0.01783030852675438,0.9937166571617126,542.3453783769801,0.0026508854767969,9543.187716468841,0.0018963603174421,0.0007545251593548,0.0,25.099980353384478,10.0,0.0
