lib,size,energy_j,net_energy_j
logbook,64,1472.11771959207,6.3877195920699705
loguru,64,1470.59106528699,4.8610652869899695
picologging,64,1467.0614901910499,1.331490191049852
pythonjsonlogger,64,1468.128980931075,2.3989809310749024
stdlib,64,1467.37637527923,1.6463752792299147
structlog,64,1469.600337886875,3.8703378868749496
